marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,p_outcome,emp_var_rate,cons_price_idx,euribor_3m,deposit,job_categories,age_categories
married,basic_4y,0,0,telephone,may,monday,261,1,0,unknown,4,2,5.0,0,housemaid,50-60
married,high_school,0,0,telephone,may,monday,149,1,0,unknown,4,2,5.0,0,services,50-60
married,high_school,1,0,telephone,may,monday,226,1,0,unknown,4,2,5.0,0,services,30-50
married,basic_6y,0,0,telephone,may,monday,151,1,0,unknown,4,2,5.0,0,admin,30-50
married,high_school,0,1,telephone,may,monday,307,1,0,unknown,4,2,5.0,0,services,50-60
married,basic_9y,0,0,telephone,may,monday,198,1,0,unknown,4,2,5.0,0,services,30-50
married,professional_course,0,0,telephone,may,monday,139,1,0,unknown,4,2,5.0,0,admin,50-60
married,unknown,0,0,telephone,may,monday,217,1,0,unknown,4,2,5.0,0,blue-collar,30-50
single,professional_course,1,0,telephone,may,monday,380,1,0,unknown,4,2,5.0,0,technician,under_the_30
single,high_school,1,0,telephone,may,monday,50,1,0,unknown,4,2,5.0,0,services,under_the_30
married,unknown,0,0,telephone,may,monday,55,1,0,unknown,4,2,5.0,0,blue-collar,30-50
single,high_school,1,0,telephone,may,monday,222,1,0,unknown,4,2,5.0,0,services,under_the_30
single,high_school,0,1,telephone,may,monday,137,1,0,unknown,4,2,5.0,0,blue-collar,under_the_30
divorced,basic_4y,1,0,telephone,may,monday,293,1,0,unknown,4,2,5.0,0,housemaid,50-60
married,basic_6y,1,0,telephone,may,monday,146,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,1,1,telephone,may,monday,174,1,0,unknown,4,2,5.0,0,retired,50-60
married,basic_6y,1,0,telephone,may,monday,312,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_6y,1,1,telephone,may,monday,440,1,0,unknown,4,2,5.0,0,blue-collar,30-50
married,basic_9y,1,1,telephone,may,monday,353,1,0,unknown,4,2,5.0,0,blue-collar,50-60
single,basic_9y,0,0,telephone,may,monday,195,1,0,unknown,4,2,5.0,0,management,30-50
married,high_school,0,0,telephone,may,monday,38,1,0,unknown,4,2,5.0,0,unemployed,30-50
married,basic_4y,1,0,telephone,may,monday,262,1,0,unknown,4,2,5.0,0,blue-collar,50-60
single,high_school,1,0,telephone,may,monday,342,1,0,unknown,4,2,5.0,0,retired,50-60
single,high_school,1,0,telephone,may,monday,181,1,0,unknown,4,2,5.0,0,technician,30-50
married,high_school,1,0,telephone,may,monday,172,1,0,unknown,4,2,5.0,0,admin,30-50
married,university_degree,0,1,telephone,may,monday,99,1,0,unknown,4,2,5.0,0,technician,30-50
married,unknown,1,0,telephone,may,monday,93,1,0,unknown,4,2,5.0,0,technician,50-60
married,basic_9y,0,0,telephone,may,monday,233,1,0,unknown,4,2,5.0,0,self-employed,30-50
single,university_degree,0,0,telephone,may,monday,255,2,0,unknown,4,2,5.0,0,technician,50-60
married,unknown,0,0,telephone,may,monday,348,1,0,unknown,4,2,5.0,0,admin,30-50
married,unknown,1,0,telephone,may,monday,386,1,0,unknown,4,2,5.0,0,technician,50-60
